route_id,from_stop,to_stop,revenue,cost,profit,operating_ratio,daily_passengers,fiscal_year
1,緑車庫前,中山駅前,8189,7120,1069,86.9,137,2024
2,上大岡駅前,港南車庫前,30687,52379,-21692,170.7,514,2024
6,新横浜駅前,梶山,76908,84138,-7230,109.4,1296,2024
7,横浜駅前,川崎駅西口,170710,180147,-9437,105.5,2904,2024
8,横浜駅前,本牧車庫前,407130,447712,-40582,110.0,6909,2024
9,保土ケ谷駅東口,滝頭,208791,279012,-70221,133.6,3669,2024
10,磯子駅前,峰の郷,29586,63704,-34118,215.3,510,2024
12,鴨居駅前,白山高校,282687,260187,22500,92.0,4834,2024
13,鶴見駅前,一の瀬,514076,505147,8929,98.3,8609,2024
14,鶴見駅入口,梶山,6593,8112,-1519,123.0,110,2024
15,鶴見駅前,鶴見駅前,196958,148088,48870,75.2,3279,2024
16,鶴見駅前,鶴見駅前,65608,57904,7704,88.3,1092,2024
17,鶴見駅前,鶴見駅前,87502,143174,-55672,163.6,1389,2024
18,鶴見駅前,矢向駅前,33942,64150,-30208,189.0,584,2024
19,新子安駅前,新子安駅前,45426,52908,-7482,116.5,717,2024
20,桜木町駅前,山手駅前,64239,109635,-45396,170.7,1082,2024
21,市電保存館前,桜木町駅前,320813,321122,-309,100.1,5480,2024
22,保土ケ谷駅西口,星川駅,68780,90350,-21570,131.4,1158,2024
23,青葉台駅,若葉台中央,464966,454347,10619,97.7,7896,2024
25,横浜駅西口,保土ケ谷駅西口,385685,325682,60003,84.4,6670,2024
26,横浜駅前,港湾カレッジ前,243649,342643,-98994,140.6,4046,2024
27,鶴見駅前,安善町,46628,71006,-24378,152.3,763,2024
28,新羽駅,中山駅北口,61397,98407,-37010,160.3,1024,2024
29,鶴見駅前,横浜駅前,192822,216847,-24025,112.5,3345,2024
31,大口駅前,横浜駅西口,38530,77573,-39043,201.3,668,2024
32,保土ケ谷車庫前,日本大通り駅県庁前,145455,162340,-16885,111.6,2499,2024
33,保土ケ谷駅西口,星川駅,11013,19667,-8654,178.6,180,2024
34,横浜駅西口,横浜駅西口,126708,106573,20135,84.1,2104,2024
35,神大寺入口,横浜駅西口,161117,156134,4983,96.9,2731,2024
36,横浜駅西口,緑車庫前,705634,676567,29067,95.9,12110,2024
38,鶴見駅西口,鶴見駅西口,233081,281059,-47978,120.6,3952,2024
39,緑車庫前,横浜駅西口,295104,324381,-29277,109.9,5041,2024
41,新横浜駅前,鶴見駅西口,939864,932699,7165,99.2,15897,2024
45,上永谷駅前,港南台駅前,407820,331425,76395,81.3,7223,2024
48,横浜駅前,横浜駅前,86210,96698,-10488,112.2,1433,2024
50,横浜駅西口,神大寺入口,185749,179174,6575,96.5,3139,2024
51,野庭中央公園,上大岡駅前,364109,378583,-14474,104.0,6344,2024
52,上大岡駅前,野庭中央公園,10912,22547,-11635,206.6,183,2024
53,平和台折返場,保土ケ谷駅東口,102711,153795,-51084,149.7,1717,2024
54,本牧車庫前,根岸駅前,71108,75138,-4030,105.7,1177,2024
55,青葉台駅,若葉台中央,147307,188434,-41127,127.9,2511,2024
56,竹山団地折返場,鴨居駅前,68572,56637,11935,82.6,1163,2024
58,磯子車庫前,桜木町駅前,602212,534928,67284,88.8,10364,2024
59,横浜駅西口,新綱島駅,114453,157051,-42598,137.2,1980,2024
63,汐見台ストアー前,造船所前,530,1455,-925,274.5,8,2024
64,港南台駅前,磯子駅前,162677,175845,-13168,108.1,2780,2024
65,若葉台中央,青葉台駅,383399,440911,-57512,115.0,6546,2024
66,桜木町駅前,桜木町駅前,7550,11601,-4051,153.7,123,2024
67,梶山,鶴見駅西口,18104,15061,3043,83.2,302,2024
68,横浜駅西口,滝頭,70271,94596,-24325,134.6,1206,2024
73,センター南駅,センター南駅,15204,42027,-26823,276.4,254,2024
74,中山駅北口,中山駅北口,53365,55386,-2021,103.8,930,2024
76,港南車庫前,洋光台駅前,5977,20601,-14624,344.7,103,2024
78,磯子駅前,根岸駅前,226307,243843,-17536,107.7,3886,2024
79,平和台折返場,港町,297410,339568,-42158,114.2,5116,2024
80,中山駅北口,センター南駅,17714,52220,-34506,294.8,288,2024
82,八反橋,横浜駅西口,115189,156179,-40990,135.6,1961,2024
84,鶴見駅西口,東神奈川駅西口,16500,31522,-15022,191.0,292,2024
85,磯子車庫前,南部水再生センター前,48411,73291,-24880,151.4,776,2024
86,生麦,横浜駅前,2561,7714,-5153,301.2,46,2024
87,横浜駅西口,横浜駅西口,138066,133129,4937,96.4,2268,2024
88,市民病院,神大寺入口,51855,69997,-18142,135.0,891,2024
ぶらり野毛山動物園BUS,一本松小学校前,横浜駅前,115864,125061,-9197,107.9,1844,2024
90,青葉台駅,中山駅北口,76682,87503,-10821,114.1,1285,2024
91,根岸駅前,三菱本牧工場前,37264,25200,12064,67.6,624,2024
92,横浜駅西口,笹山団地中央,85487,149715,-64228,175.1,1473,2024
96,新横浜駅前,新羽駅,20999,29849,-8850,142.1,353,2024
97,根岸駅前,根岸駅前,104516,138137,-33621,132.2,1680,2024
98,中山駅前,長津田駅前,163338,185242,-21904,113.4,2880,2024
101,保土ケ谷車庫前,根岸駅前,508960,443969,64991,87.2,8724,2024
102,滝頭,横浜駅前,327559,323290,4269,98.7,5635,2024
103,根岸台,横浜駅前,388436,393609,-5173,101.3,6684,2024
104,鶴見駅入口,新横浜駅前,446955,377751,69204,84.5,7502,2024
105,本牧車庫前,横浜駅前,543880,556670,-12790,102.4,9421,2024
106,本牧車庫前,境木中学校前,415784,474637,-58853,114.2,7117,2024
107,洋光台駅前,洋光台駅前,155425,157423,-1998,101.3,2682,2024
108,港南車庫前,港南台駅前,19297,21324,-2027,110.5,332,2024
109,横浜駅前,スカイウォーク前,70965,184786,-113821,260.4,1123,2024
111,上大岡駅前,港南台駅前,424700,382007,42693,89.9,7477,2024
112,上永谷駅前,洋光台駅前,67675,85718,-18043,126.7,1185,2024
113,桜木町駅前,磯子車庫前,238717,266229,-27512,111.5,4154,2024
119,鴨居駅前,鴨居駅前,45093,52348,-7255,116.1,756,2024
123,横浜駅前,日産本牧専用埠頭,14070,22107,-8037,157.1,235,2024
124,緑車庫前,センター南駅,163883,224807,-60924,137.2,2746,2024
125,星川駅,保土ケ谷駅西口,49953,35965,13988,72.0,853,2024
127,保土ケ谷駅西口,星川駅,74943,56212,18731,75.0,1266,2024
128,ヨコハマアイランドガーデン,鶴見駅前,128549,75121,53428,58.4,2102,2024
129,新横浜駅前,鶴ヶ峰駅,74936,109437,-34501,146.0,1253,2024
130,港南車庫前,上永谷駅前,27987,32366,-4379,115.6,506,2024
133,上大岡駅前,根岸駅前,167875,148723,19152,88.6,2898,2024
135,根岸駅前,根岸駅前,44183,63498,-19315,143.7,745,2024
136,よこはま動物園,中山駅前,18302,21699,-3397,118.6,297,2024
155,鶴見駅前,鶴見駅前,45869,46585,-716,101.6,758,2024
156,滝頭,桜木町駅前,82832,114379,-31547,138.1,1417,2024
158,滝頭,桜木町駅前,106661,131321,-24660,123.1,1822,2024
168,本牧,横浜駅前,59040,70122,-11082,118.8,1008,2024
172,鴨居駅前,鴨居駅前,22938,35061,-12123,152.9,386,2024
177,奈良北団地折返場,十日市場駅前,33592,80444,-46852,239.5,550,2024
181,横浜さとうのふるさと,鶴見駅前,170017,207887,-37870,122.3,2748,2024
188,上永谷駅前,上永谷駅前,30876,27508,3368,89.1,574,2024
199,平和台折返場,平和台折返場,31157,30322,835,97.3,556,2024
ベイサイドブルー,山下ふ頭,横浜駅改札口前,66425,102523,-36098,154.3,1028,2024
201,横浜駅西口,横浜駅西口,42257,43718,-1461,103.5,694,2024
202,横浜駅西口,横浜駅西口,185548,184490,1058,99.4,3069,2024
204,浅間町車庫前,横浜駅西口,34435,39956,-5521,116.0,576,2024
205,若葉台中央,中山駅前,40408,59378,-18970,146.9,713,2024
207,保土ケ谷車庫前,横浜駅西口,15587,21547,-5960,138.2,269,2024
208,横浜駅西口,横浜駅西口,19806,19021,785,96.0,331,2024
209,横浜駅西口,横浜駅西口,5489,10127,-4638,184.5,93,2024
210,境木中学校前,東戸塚駅前,234131,183569,50562,78.4,3937,2024
211,鶴ヶ峰駅,福寿荘前,37062,48695,-11633,131.4,651,2024
212,保土ケ谷駅東口,保土ケ谷駅東口,125907,184295,-58388,146.4,2138,2024
213,新子安駅西口,新子安駅西口,90072,84245,5827,93.5,1540,2024
214,東戸塚駅前,東戸塚駅前,43665,31166,12499,71.4,746,2024
215,新杉田駅前,新杉田駅前,76720,119572,-42852,155.9,1318,2024
217,港南台駅前,港南台駅前,15689,18013,-2324,114.8,286,2024
218,新井中学校前,福寿荘前,28120,64019,-35899,227.7,471,2024
219,弘明寺,みつが丘中央,36942,52022,-15080,140.8,640,2024
220,星川駅,保土ケ谷駅西口,6802,11791,-4989,173.3,118,2024
鴨居・東本郷線,東本郷ケアプラザ,鴨居駅前,73536,107673,-34137,146.4,1284,2024
222,山手駅前,山手駅前,81035,131410,-50375,162.2,1398,2024
240,中山駅前,中山駅前,27991,33278,-5287,118.9,471,2024
248,笹山団地,千丸台集会所,46744,88426,-41682,189.2,785,2024
256,鴨居駅前,鴨居駅前,25705,33589,-7884,130.7,432,2024
260,東戸塚駅前,平和台折返場,14662,18046,-3384,123.1,253,2024
ふれあい緑区十日市場,十日市場駅前,十日市場駅前,4364,9583,-5219,219.6,81,2024
ふれあい緑区中山,中山駅前,中山駅前,6906,7576,-670,109.7,124,2024
ぶらり三渓園BUS,三渓園,横浜駅前,6990,11310,-4320,161.8,105,2024
聖隷横浜病院循環,聖隷横浜病院,聖隷横浜病院,4058,8048,-3990,198.3,70,2024
291,横浜駅西口,大口駅前,23786,34263,-10477,144.0,413,2024
292,浅間町車庫前,パシフィコ横浜,5427,12136,-6709,223.6,95,2024
293,磯子駅前,磯子駅前,32619,68240,-35621,209.2,564,2024
295,西菅田団地,新横浜駅前,11245,20054,-8809,178.3,189,2024
三井アウトレット線,三井アウトレットパーク横浜,横浜駅前,2624,7167,-4543,273.1,40,2024
300,新横浜駅前,仲町台駅,12713,27923,-15210,219.6,208,2024
301,江田駅,仲町台駅,144567,158348,-13781,109.5,2402,2024
302,仲町台駅,東山田駅,43360,79397,-36037,183.1,732,2024
304,江田駅,センター南駅,57629,66586,-8957,115.5,956,2024
305,中山駅北口,市が尾駅,221341,265047,-43706,119.7,3634,2024
306,センター南駅,市が尾駅,117513,145559,-28046,123.9,1991,2024
318,仲町台駅,都筑ふれあいの丘駅,20278,63647,-43369,313.9,344,2024
321,三井アウトレットパーク横浜,三井アウトレットパーク横浜,13125,35624,-22499,271.4,228,2024
